date,open,high,low,close,volume_btc,volume_usd,market_cap_all,fng_value,btc_dominance,neutral,positive,negative
2018-05-23,7985.77,8026.37,7438.43,7497.47,5912,45546536,333654687744,26,37,607,622,588
2018-05-24,7497.47,7746.18,7268.99,7572.49,5287,39867877,336943808512,27,42,575,700,532
2018-05-25,7572.49,7659.97,7322.29,7462.65,4706,35187173,330951294976,25,37,557,620,575
2018-05-26,7462.65,7647.46,7300.01,7333.2,1792,13445959,337460428800,23,39,394,542,337
2018-05-27,7333.2,7400.0,7208.1,7349.12,1021,7463322,323834052608,19,38,397,506,387
2018-05-28,7349.12,7445.89,7076.6,7098.11,2509,18176967,308879196160,22,39,507,564,386
2018-05-29,7098.11,7531.21,7055.94,7460.0,3530,25878485,328794112000,16,40,572,595,572
2018-05-30,7460.0,7567.72,7268.76,7387.88,2452,18180788,320305102848,38,37,560,581,551
2018-05-31,7387.88,7616.63,7340.0,7484.84,2639,19756095,333670973440,25,39,564,612,620
2018-06-01,7484.84,7616.63,7356.08,7521.01,2933,21926048,329300115456,24,39,571,723,710
2018-06-02,7521.01,7698.92,7441.0,7643.52,1598,12159163,343752048640,27,38,524,644,541
2018-06-03,7643.52,7790.91,7587.53,7709.99,1186,9128283,351643729920,40,38,513,628,539
2018-06-04,7709.99,7754.96,7447.02,7500.0,2124,16086764,340196491264,41,38,648,679,642
2018-06-05,7500.0,7677.03,7341.73,7610.0,1918,14409195,346067697664,26,40,617,681,663
2018-06-06,7610.0,7694.92,7480.79,7657.92,1647,12505572,343777738752,42,38,563,707,606
2018-06-07,7657.92,7745.0,7635.89,7691.26,1573,12099431,344057643008,38,38,553,659,609
2018-06-08,7691.26,7695.0,7539.97,7647.08,1306,9968506,342627909632,40,39,543,615,616
2018-06-09,7647.19,7684.22,7457.5,7501.64,726,5520341,340620279808,39,38,496,621,459
2018-06-10,7501.64,7501.64,6630.5,6770.0,6317,43870922,296212267008,24,33,471,695,558
2018-06-11,6770.0,6913.59,6646.19,6878.0,4598,31049870,295372062720,15,39,570,819,689
2018-06-12,6878.0,6879.99,6444.03,6550.0,4026,26903711,281710362624,19,35,528,763,596
2018-06-13,6550.0,6619.84,6122.94,6297.7,6909,44033200,268777308160,19,40,568,770,609
2018-06-14,6297.7,6711.42,6280.01,6639.66,5311,34427551,290036318208,17,42,536,656,566
2018-06-15,6639.66,6664.53,6365.52,6388.98,3320,21768162,280346492928,26,40,544,604,615
2018-06-16,6388.98,6550.0,6333.98,6486.86,1742,11247709,281159335936,22,40,433,542,567
2018-06-17,6486.86,6574.34,6430.77,6444.35,691,4497996,279901536256,23,40,441,573,472
2018-06-18,6444.35,6800.0,6380.41,6711.16,2336,15410558,288186859520,27,43,516,643,586
2018-06-19,6711.16,6831.0,6665.13,6740.96,1455,9797841,289101185024,32,39,530,631,719
2018-06-20,6740.96,6815.21,6550.59,6758.31,2285,15234421,289060192256,34,41,536,656,609
2018-06-21,6758.31,6785.87,6685.18,6717.88,1162,7821556,286352408576,37,40,555,674,569
2018-06-22,6717.88,6730.0,5940.05,6076.88,5771,36253129,250607550464,28,37,512,655,597
2018-06-23,6073.38,6259.09,6031.03,6172.55,1025,6287170,256363118592,17,41,439,571,454
2018-06-24,6172.55,6254.16,5768.4,6149.99,2849,17065277,254622629888,15,45,465,639,452
2018-06-25,6149.99,6349.46,6075.19,6242.53,2697,16753610,255761858560,16,41,529,606,677
2018-06-26,6242.53,6275.0,6051.01,6060.01,2142,13260615,248888606720,21,41,576,611,669
2018-06-27,6060.01,6177.31,5987.01,6135.8,2465,15013804,247098441728,18,43,491,562,569
2018-06-28,6135.8,6158.1,5825.26,5850.13,1971,11847774,242282938368,20,42,536,610,615
2018-06-29,5850.13,6600.0,5785.17,6202.49,4887,29281958,235691229184,16,43,482,602,584
2018-06-30,6202.49,6531.61,6193.28,6389.01,1981,12618700,254910758912,22,42,432,561,453
2018-07-01,6389.01,6430.01,6254.23,6345.53,1839,11680577,256348667904,27,42,463,474,531
2018-07-02,6345.53,6673.9,6267.68,6615.13,4595,29812470,269972652032,27,45,543,643,521
