date,open,high,low,close,volume_btc,volume_usd
2018-04-27,9281.95,9368.0,8901.27,8926.0,3278,30172815
2018-04-26,8865.01,9315.24,8660.0,9281.95,4477,39771333
2018-04-25,9649.99,9762.75,8755.0,8865.01,7596,70250882
2018-04-24,8933.0,9740.97,8925.0,9649.99,5164,48118391
2018-04-23,8800.0,8990.0,8775.0,8933.0,2063,18341146
2018-04-22,8920.0,9017.0,8755.0,8800.0,1495,13291042
2018-04-21,8847.07,9038.0,8602.08,8920.0,3399,29918579
2018-04-20,8269.3,8932.16,8215.0,8855.49,4993,42325280
2018-04-19,8167.0,8295.73,8090.0,8269.3,2787,22906354
2018-04-18,7894.0,8227.32,7880.0,8167.0,3126,25187382
2018-04-17,8052.27,8165.07,7820.01,7894.0,3078,24605816
2018-04-16,8357.43,8415.0,7900.0,8052.27,4734,38358033
2018-04-15,7998.07,8413.43,7998.07,8357.43,2302,18994463
2018-04-14,7875.94,8175.86,7820.67,7998.07,2126,17016841
2018-04-13,7920.39,8223.58,7732.43,7875.94,7669,61464491
2018-04-12,6939.43,8076.83,6766.18,7920.39,9957,74604260
2018-04-11,6830.68,6966.84,6801.68,6939.43,2866,19778338
2018-04-10,6771.01,6876.33,6651.12,6830.68,2802,19003389
2018-04-09,7022.72,7176.99,6612.35,6771.01,4793,32762618
2018-04-08,6895.99,7100.0,6889.5,7022.72,2494,17460763
2018-04-07,6592.94,7069.18,6592.94,6895.99,2337,16178550
2018-04-06,6777.0,6848.0,6512.79,6564.06,5906,39214142
2018-04-05,6794.31,6923.01,6574.3,6777.0,7331,49348791
2018-04-04,7418.53,7421.08,6707.5,6794.31,6865,48325954
2018-04-03,7049.99,7500.0,7016.87,7418.53,7164,52515668
2018-04-02,6811.02,7113.01,6766.84,7049.99,5330,37254176
2018-04-01,6920.5,7043.5,6442.49,6811.02,5962,40038020
2018-03-31,6838.71,7242.47,6788.51,6920.5,4842,33961333
2018-03-30,7086.6,7271.9,6600.0,6838.71,11373,77813320
2018-03-29,7941.87,7965.0,6903.0,7086.6,12113,90220518
