date,inflation,traiding,passive income,economic crisis,investing,crisis,gold
2018-09-05,100,62,78,79,92,95,88
2018-09-06,100,96,83,65,89,91,86
2018-09-07,82,61,79,57,81,79,89
2018-09-08,67,50,70,51,37,64,96
2018-09-09,65,55,78,64,38,75,92
2018-09-10,81,48,87,63,78,87,88
2018-09-11,81,58,79,100,84,97,87
2018-09-12,82,72,73,81,83,95,87
2018-09-13,78,79,74,76,100,100,88
2018-09-14,67,50,70,70,86,89,89
2018-09-15,55,33,78,54,34,73,94
2018-09-16,58,87,78,56,35,76,93
2018-09-17,75,58,93,84,90,95,87
2018-09-18,74,33,77,81,91,97,86
2018-09-19,78,82,66,82,87,97,86
2018-09-20,72,39,67,84,90,94,87
2018-09-21,59,80,63,68,82,80,89
2018-09-22,51,78,73,70,37,68,95
2018-09-23,59,44,56,82,37,75,92
2018-09-24,74,58,100,68,92,92,88
2018-09-25,72,81,56,69,87,92,90
2018-09-26,75,100,81,94,87,96,89
2018-09-27,77,58,77,82,93,92,88
2018-09-28,61,70,81,85,82,86,86
2018-09-29,49,28,67,40,35,67,93
2018-09-30,53,49,61,85,42,73,90
2018-10-01,80,65,75,66,90,87,88
2018-10-02,92,26,69,62,89,92,90
2018-10-03,100,48,90,76,90,86,90
2018-10-04,92,79,62,65,86,85,90
2018-10-05,83,27,78,82,85,78,91
2018-10-06,60,75,72,29,38,62,94
2018-10-07,68,53,76,57,36,67,89
2018-10-08,84,52,74,76,85,80,88
2018-10-09,99,55,81,68,84,86,93
2018-10-10,94,57,88,89,87,87,91
2018-10-11,96,99,59,100,99,93,92
2018-10-12,78,52,56,56,100,83,96
2018-10-13,63,77,64,47,38,66,100
2018-10-14,63,41,94,62,42,77,94
2018-10-15,92,44,90,72,94,89,93
2018-10-16,90,53,100,89,90,90,92
2018-10-17,95,62,83,75,96,90,89
2018-10-18,83,91,82,75,93,87,91
2018-10-19,75,37,74,69,85,82,91
2018-10-20,55,46,64,24,36,72,96
2018-10-21,61,40,80,55,38,75,92
2018-10-22,82,66,81,90,83,100,91
2018-10-23,82,78,67,72,94,100,90
2018-10-24,80,69,57,51,87,90,86
2018-10-25,85,48,52,56,87,91,91
2018-10-26,68,92,59,58,81,84,91
2018-10-27,58,54,66,62,33,66,98
2018-10-28,61,63,66,38,33,73,96
2018-10-29,76,64,65,85,79,92,96
2018-10-30,88,100,54,51,91,92,95
2018-10-31,90,49,71,62,85,90,90
2018-11-01,87,55,41,89,93,92,85
2018-11-02,78,49,55,55,78,83,85
2018-11-03,62,54,39,51,37,68,91
2018-11-04,67,47,47,71,39,76,94
2018-11-05,91,62,81,82,98,96,100
2018-11-06,90,65,62,78,93,93,81
2018-11-07,87,63,63,88,91,93,79
2018-11-08,94,69,59,82,95,94,82
2018-11-09,82,44,48,62,92,88,82
2018-11-10,65,70,55,59,35,73,89
2018-11-11,66,42,29,83,39,76,87
2018-11-12,90,74,38,76,84,95,85
2018-11-13,95,69,56,73,92,97,82
2018-11-14,99,75,62,59,100,94,82
2018-11-15,100,42,100,94,89,93,80
2018-11-16,77,54,46,69,78,86,83
2018-11-17,64,44,60,66,36,69,90
2018-11-18,67,37,62,84,41,76,87
2018-11-19,83,80,52,84,96,88,86
2018-11-20,87,75,55,56,89,91,83
2018-11-21,88,90,58,100,88,82,85
2018-11-22,80,78,63,79,74,73,84
2018-11-23,64,51,27,63,76,67,91
2018-11-24,58,58,49,55,33,63,96
2018-11-25,71,79,66,52,35,72,90
2018-11-26,90,100,66,96,93,95,89
2018-11-27,98,50,68,60,92,100,88
2018-11-28,95,56,64,93,93,98,87
2018-11-29,95,57,63,77,90,96,87
2018-11-30,90,48,68,68,85,88,89
2018-12-01,62,57,68,35,38,53,96
2018-12-02,79,47,77,96,39,60,91
2018-12-03,99,70,58,89,94,77,89
2018-12-04,99,63,83,81,99,78,87
2018-12-05,100,76,85,80,96,79,86
2018-12-06,99,100,84,70,96,77,87
2018-12-07,78,74,86,81,93,66,89
2018-12-08,65,33,75,51,37,49,94
2018-12-09,64,65,69,64,41,59,94
2018-12-10,100,43,66,86,95,74,90
2018-12-11,90,91,76,65,89,80,87
2018-12-12,94,36,100,100,92,100,88
2018-12-13,90,51,68,72,94,84,88
